Model,Split,AUROC,AUPRC,MCC,TPR@1%FPR,Accuracy
baseline_LogisticRegression,Random,0.9482 [0.9390-0.9571],0.9451 [0.9310-0.9564],0.7730 [0.7495-0.7975],0.3296,0.8863
baseline_RandomForest,Random,0.9887 [0.9846-0.9924],0.9893 [0.9851-0.9927],0.9011 [0.8835-0.9163],0.8538,0.9506
baseline_LinearSVM,Random,0.9472 [0.9379-0.9564],0.9448 [0.9299-0.9564],0.7758 [0.7504-0.8019],0.3226,0.8863
baseline_LogisticRegression,Cluster,0.9468 [0.9385-0.9557],0.9508 [0.9410-0.9600],0.7786 [0.7533-0.8064],0.4712,0.8891
baseline_RandomForest,Cluster,0.9768 [0.9716-0.9830],0.9812 [0.9769-0.9860],0.8558 [0.8335-0.8804],0.8459,0.9270
baseline_LinearSVM,Cluster,0.9470 [0.9385-0.9557],0.9518 [0.9424-0.9603],0.7668 [0.7415-0.7945],0.4878,0.8816
ESM2_MLP,Random,0.9974 [0.9960-0.9986],0.9975 [0.9964-0.9986],0.9559 [0.9432-0.9681],0.9677,0.9781
ESM2_MLP,Cluster,0.9956 [0.9930-0.9974],0.9965 [0.9948-0.9980],0.9527 [0.9402-0.9650],0.9571,0.9765
ESM2_650M_MLP,Random,0.9991 [0.9985-0.9995],0.9991 [0.9985-0.9995],0.9641 [0.9523-0.9751],0.9778,0.9820
ESM2_650M_MLP,Cluster,0.9986 [0.9979-0.9992],0.9987 [0.9981-0.9993],0.9701 [0.9590-0.9800],0.9668,0.9850
